מחירון מדרגות ומעקות - ASCENSO
עודכן,2025-02-14
הערה,המחירים לפני מע"מ (מע"מ 18%) – הופחתו ב־25%

דגמי מדרגות (6 דגמים)
מזהה,שם דגם,מפרט
thick,קלאסי,עובי אחיד 11 ס״מ
thin,להב,עובי אחיד 7 ס״מ
rounded,קפסולה,עובי 8 ס״מ · פינות רדיוס 4 ס״מ
taper,דלתא,קצה 5 ס״מ הופך ל־12 ס״מ
wedge,טריז,חזית 11 ס״מ הופך לעובי 3.5 ס״מ
ridge,מרום,בסיס 2 ס״מ · רכס עולה ל־11 ס״מ

אופציות טקסטורה למדרגות (32) - מחיר ליחידת מדרגה | פודסט = 2.5 × מחיר יחידה
סוג חומר,טקסטורה,מחיר ליחידת מדרגה (₪),מחיר פודסט (₪)
עץ,אדמה,2925,7313
עץ,חריטה,2700,6750
עץ,שוקולד,2775,6938
עץ,ציור,2925,7313
עץ,דומינו,2850,7125
עץ,פטיש,2850,7125
עץ,עטיפה,3150,7875
עץ,נקי,2100,5250
אבן טבעית,אמזונס ברזיל,4350,10875
אבן טבעית,האלפיים הירוקים,4125,10313
אבן טבעית,טרוורטין כסף,3450,8625
אבן טבעית,פור סיזנס,4950,12375
אבן טבעית,אבן פריז,3675,9188
אבן טבעית,יין אדום,3975,9938
אבן טבעית,זהב שחור,3225,8063
אבן טבעית,אבן אדמה,3675,9188
אבן טבעית,אבן גשם,3750,9375
אבן טבעית,אבן נהר,3675,9188
אבן טבעית,אבן טיגריס,3375,8438
אבן טבעית,ואן גוך,4275,10688
מתכת,זהב ענתיקה,3000,7500
מתכת,כסף ענתיקה,3600,9000
מתכת,שחור,2250,5625
מתכת,שמפניה,3150,7875
מתכת,זהב-כסף,2625,6563
מתכת,זהב,2550,6375
מתכת,חלודה זהובה,3300,8250
מתכת,גרפיט,2700,6750
מתכת,גשם,3450,8625
מתכת,זהב ורוד,2850,7125
מתכת,כסף,2775,6938
מתכת,לבן,2250,5625

מעקות
סוג מעקה,יחידה,מחיר ליחידה (₪),הערות
מעקה זכוכית,מ״ר,1275,גוונים: אקסטרה קליר / מושחר / ברונזה
מעקה מתכת,מטר רץ,כמחיר יחידת מדרגה,לפי חומר הנבחר בהדמייה
מערכת כבלים 8 מ״מ,כבל,825,3 כבלים למדרגה 9 לפודסט ישר

גווני כבלי נירוסטה (מחיר זהה לכל גוון)
מזהה,שם גוון
cable_01,נירוסטה טבעי
cable_02,שמפניה
cable_03,זהב
cable_04,רוז גולד
cable_05,מושחר
cable_06,וויסקי
cable_07,לבן
cable_08,אפור פחם

תוספות
פתיחת פרויקט,חד-פעמי,1125,מדידות/שינוע בסיסי
